jockey_name,ride_count_dirt,ride_count_turf,latest_date_dirt,latest_date_turf,forward_score_dirt,forward_score_turf,push_score_dirt,push_score_turf,quadrant_dirt,quadrant_turf,delta_forward,delta_push,shift_distance,quadrant_changed
岡部誠,1500,168,2025-05-22,2024-05-04,1.7742800636918148,-1.0300767509531037,0.9996638407708216,-0.10858512075365356,Q1,Q3,2.8043568146449185,1.1082489615244753,3.015399294382996,True
佐藤友則,683,199,2020-06-05,2020-03-20,0.9200672885362594,-1.6717898438464545,0.05377677962536482,-1.0901991804184377,Q1,Q3,2.5918571323827138,1.1439759600438024,2.8330909607425747,True
安部幸夫,897,227,2016-07-20,2011-12-25,1.0960731989734718,-1.3802548920191948,0.290285363761982,-0.6965542478895371,Q1,Q3,2.4763280909926664,0.9868396116515191,2.665718145896881,True
田面木博,157,111,2012-11-11,2012-11-24,-1.3357246087147718,0.14079464246136117,-0.4388384626578978,-1.8553062926103552,Q3,Q2,-1.476519251176133,1.4164678299524573,2.046091447708032,True
五十嵐冬,657,143,2022-11-10,2019-08-18,1.220045622776813,-0.6377621179527129,0.4207510410117057,0.29742140799982975,Q1,Q4,1.857807740729526,0.12332963301187594,1.8618968284771822,True
デムーロ,186,250,2012-03-18,2012-03-18,0.9807894623734265,0.1954538763169415,0.8105984418207589,2.0040039582976945,Q1,Q1,0.785335586056485,-1.1934055164769357,1.4286247616096623,False
モレイラ,267,439,2025-09-28,2025-09-28,1.7656428564018405,0.4991211531643531,0.7431652250357272,1.3161541585518441,Q1,Q1,1.2665217032374874,-0.5729889335161169,1.3901055868902632,False
吉田稔,808,351,2012-09-18,2012-09-02,0.09723665412771981,-1.238987583896469,0.8411682208920207,0.4996365955825435,Q1,Q4,1.3362242380241889,0.3415316253094772,1.3791805775060266,True
マーフィ,162,169,2020-02-02,2020-02-02,1.313601936005052,0.7535801229240825,0.1430360182085577,1.2986529768380648,Q1,Q1,0.5600218130809694,-1.155616958629507,1.284163146254637,False
ピンナ,131,167,2012-10-14,2012-10-14,0.5635194891578166,-0.17800003284051416,-0.5727985149438998,0.4659446149405255,Q2,Q4,0.7415195219983307,-1.0387431298844252,1.2762595705367794,True
山崎亮誠,170,118,2014-02-24,2014-02-18,-1.1257496730107888,-1.181150594279082,-0.1707873670727211,-1.3731325286809803,Q3,Q3,0.055400921268293324,1.2023451616082592,1.2036208496533145,False
スミヨン,106,178,2024-11-24,2024-11-24,0.9405885480946732,0.34354022476404134,0.10627083051900683,1.13436483046225,Q1,Q1,0.5970483233306318,-1.0280939999432432,1.1888834985444183,False
村上忍,364,104,2024-12-11,2024-07-02,2.233979066516333,1.3841037814633745,0.2993593748183226,1.1138820780633878,Q1,Q1,0.8498752850529585,-0.8145227032450653,1.1771725592475797,False
ベリー,430,391,2018-11-24,2018-11-24,0.31728763426771445,-0.16018632263377858,0.23719911731053012,1.295140314656824,Q1,Q4,0.477473956901493,-1.057941197346294,1.1606984778837606,True
Ｍデムー,254,205,2012-03-18,2011-12-24,0.5011518190286359,-0.4168546618141465,0.6079251533910041,1.274136073652611,Q1,Q4,0.9180064808427824,-0.666210920261607,1.1342719643653223,True
水沼元輝,283,173,2025-12-07,2025-12-07,-1.0377777526919147,-1.0388052284402338,-0.6415233910422272,-1.6870040971296838,Q3,Q3,0.0010274757483190733,1.0454807060874565,1.0454812109777678,False
クラスト,159,133,2017-08-27,2017-08-27,0.12010876061236324,0.6455458068406656,-0.8717460288611877,0.026496861130365822,Q2,Q1,-0.5254370462283025,-0.8982428899915536,1.0406365258674621,True
Ｃ．デム,591,663,2025-12-13,2025-11-30,1.0475238235438806,0.33904751954445206,0.17949200000723303,0.9030804867975394,Q1,Q1,0.7084763039994286,-0.7235884867903064,1.0126791059087652,False
武士沢友,3836,2852,2024-03-10,2024-03-10,-1.5180946091617487,-1.1897234529972156,0.8009507203594823,-0.14368905045970798,Q4,Q3,-0.32837115616453305,0.9446397708191903,1.0000859527131478,True
ムーア,309,465,2024-12-22,2024-12-22,0.6640108166223775,-0.10064961958851129,0.2570848606180543,0.8707312091984809,Q1,Q4,0.7646604362108887,-0.6136463485804267,0.9804424632951784,True
