jockey_name,ride_count_dirt,ride_count_turf,latest_date_dirt,latest_date_turf,forward_score_dirt,forward_score_turf,push_score_dirt,push_score_turf,quadrant_dirt,quadrant_turf,delta_forward,delta_push,shift_distance,quadrant_changed
ウィリア,347,500,2025-08-24,2025-08-24,1.3928844678451378,0.753881202591727,-0.5962425603941939,0.002229846376660967,Q2,Q1,0.6390032652534108,-0.5984724067708549,0.8754966560019635,True
キング,151,163,2025-08-17,2025-08-17,0.38440321887185047,0.3753375463293153,-0.0663699017454539,-0.11654103418152145,Q2,Q2,0.009065672542535153,0.05017113243606755,0.05098361451060434,False
クラスト,159,133,2017-08-27,2017-08-27,0.12010876061236324,0.6455458068406656,-0.8717460288611877,0.026496861130365822,Q2,Q1,-0.5254370462283025,-0.8982428899915536,1.0406365258674621,True
シュタル,500,653,2025-06-01,2025-05-31,0.05187395806723845,0.021857613682633503,-0.5939525840613792,0.08323416153301591,Q2,Q1,0.030016344384604945,-0.6771867455943951,0.6778516573255118,True
スミヨン,106,178,2024-11-24,2024-11-24,0.9405885480946732,0.34354022476404134,0.10627083051900683,1.13436483046225,Q1,Q1,0.5970483233306318,-1.0280939999432432,1.1888834985444183,False
デムーロ,186,250,2012-03-18,2012-03-18,0.9807894623734265,0.1954538763169415,0.8105984418207589,2.0040039582976945,Q1,Q1,0.785335586056485,-1.1934055164769357,1.4286247616096623,False
ドイル,136,161,2025-01-13,2025-01-13,-0.3489951157717405,-0.6312941071593818,-0.5577438268341162,-0.007607667410430391,Q3,Q3,0.2822989913876413,-0.5501361594236858,0.6183385112088059,False
バルジュ,345,396,2018-03-25,2018-03-25,0.43849858590331103,0.5167837598280973,-0.2504700459067204,0.12210972362385561,Q2,Q1,-0.07828517392478629,-0.37257976953057603,0.3807154490165735,True
ビュイッ,144,226,2024-12-01,2024-12-01,0.012487966957520871,-0.27397082354838326,-0.3139712480457487,0.03966507675289943,Q2,Q4,0.2864587905059041,-0.35363632479864815,0.4551014050463923,True
ピンナ,131,167,2012-10-14,2012-10-14,0.5635194891578166,-0.17800003284051416,-0.5727985149438998,0.4659446149405255,Q2,Q4,0.7415195219983307,-1.0387431298844252,1.2762595705367794,True
フォーリ,164,173,2022-11-13,2020-02-23,0.2567126991656494,-0.08098663579724699,-0.06527485623735695,-0.2766819722858933,Q2,Q3,0.3376993349628964,0.21140711604853635,0.3984141181614198,True
ブノワ,158,125,2022-11-26,2022-11-26,-0.09192852924849342,0.005243944861133489,-0.061236321999250956,-0.3366764520672739,Q3,Q2,-0.0971724741096269,0.275440130068023,0.29207833705442027,True
ベリー,430,391,2018-11-24,2018-11-24,0.31728763426771445,-0.16018632263377858,0.23719911731053012,1.295140314656824,Q1,Q4,0.477473956901493,-1.057941197346294,1.1606984778837606,True
ペリエ,130,170,2012-11-24,2012-11-25,0.34728343230716924,0.5453338670199056,-0.5427693491372991,-0.1445389240073311,Q2,Q2,-0.19805043471273637,-0.39823042512996804,0.4447599871718441,False
ホワイト,114,193,2017-08-19,2017-08-20,0.670216393903903,0.7277112024729288,-0.012673589448642462,-0.1677392821044356,Q2,Q2,-0.05749480856902578,0.15506569265579312,0.16538144409579272,False
マーカン,191,218,2025-12-13,2025-12-07,0.7017874846988134,0.14179015684666038,-0.004156222456562761,0.6783404505881027,Q2,Q1,0.559997327852153,-0.6824966730446654,0.8828356109257197,True
マーフィ,162,169,2020-02-02,2020-02-02,1.313601936005052,0.7535801229240825,0.1430360182085577,1.2986529768380648,Q1,Q1,0.5600218130809694,-1.155616958629507,1.284163146254637,False
ミナリク,259,202,2020-03-31,2020-03-31,-0.03005481284442716,-0.18321738217787684,-0.30926340662122753,0.11707737872615262,Q3,Q4,0.15316256933344968,-0.4263407853473802,0.45301792226736975,True
ムルザバ,194,186,2024-04-14,2024-04-14,0.383019267026173,-0.11707800654588883,-0.0389599215895675,0.5437971687074876,Q2,Q4,0.5000972735720618,-0.5827570902970551,0.7679212911006568,True
ムーア,309,465,2024-12-22,2024-12-22,0.6640108166223775,-0.10064961958851129,0.2570848606180543,0.8707312091984809,Q1,Q4,0.7646604362108887,-0.6136463485804267,0.9804424632951784,True
